order_id,date,product,category,quantity,unit_price,region,payment_method,customer_id,total_price,month,year
ORD-1208,2023-11-15,Monitor,Electronics,7,316.77,East,Bank Transfer,CUST-127,2217.39,November,2023
ORD-1058,2023-02-05,Headphones,Accessories,6,82.44,North,Cash,CUST-411,494.64,February,2023
ORD-1420,2023-09-14,Headphones,Accessories,4,89.98,South,Cash,CUST-327,359.92,September,2023
ORD-1909,2023-03-20,Laptop,Electronics,8,951.61,Central,Credit Card,CUST-359,7612.88,March,2023
ORD-2112,2023-01-10,Monitor,Electronics,3,324.29,East,Bank Transfer,CUST-364,972.87,January,2023
ORD-1243,2023-07-09,Charger,Accessories,5,16.86,East,Bank Transfer,CUST-280,84.3,July,2023
ORD-1599,2023-08-29,Notebook,Office,5,18.24,Central,Credit Card,CUST-319,91.2,August,2023
ORD-1485,2023-12-17,Desk Lamp,Office,5,39.16,East,Bank Transfer,CUST-155,195.8,December,2023
ORD-1514,2023-03-09,Monitor,Electronics,6,320.88,South,Cash,CUST-484,1925.28,March,2023
ORD-1451,2023-02-03,USB Hub,Accessories,1,46.49,South,Cash,CUST-186,46.49,February,2023
ORD-1049,2023-11-24,Desk Lamp,Office,5,30.0,North,Credit Card,CUST-112,150.0,November,2023
ORD-2010,2023-02-25,Webcam,Electronics,5,72.9,West,Cash,CUST-247,364.5,February,2023
ORD-1109,2023-02-01,Monitor,Electronics,6,321.38,East,PayPal,CUST-472,1928.28,February,2023
ORD-1438,2023-03-23,Keyboard,Accessories,2,62.02,Central,PayPal,CUST-324,124.04,March,2023
ORD-1086,2023-01-27,Webcam,Electronics,1,77.38,Central,PayPal,CUST-303,77.38,January,2023
ORD-1309,2023-08-12,Headphones,Accessories,10,89.29,South,PayPal,CUST-139,892.9,August,2023
ORD-1415,2023-11-30,Charger,Accessories,6,32.41,East,Bank Transfer,CUST-333,194.46,November,2023
ORD-1834,2023-03-31,Charger,Accessories,8,34.63,Central,Bank Transfer,CUST-230,277.04,March,2023
ORD-1490,2023-08-05,USB Hub,Accessories,9,40.69,Central,Cash,CUST-218,366.21,August,2023
ORD-1328,2023-08-24,Desk Lamp,Office,6,30.16,South,PayPal,CUST-254,180.96,August,2023
ORD-1265,2023-04-21,Headphones,Accessories,4,82.22,Central,PayPal,CUST-372,328.88,April,2023
ORD-1826,2023-10-05,USB Hub,Accessories,2,44.24,East,Bank Transfer,CUST-211,88.48,October,2023
ORD-1673,2023-01-23,USB Hub,Accessories,2,47.01,South,Cash,CUST-147,94.02,January,2023
ORD-1549,2023-03-24,Desk Lamp,Office,5,37.29,North,Debit Card,CUST-184,186.45,March,2023
ORD-1851,2023-11-10,Desk Lamp,Office,5,35.45,North,Cash,CUST-343,177.25,November,2023
ORD-1841,2023-05-02,Laptop,Electronics,7,952.04,South,Cash,CUST-157,6664.28,May,2023
ORD-2085,2023-06-07,Mouse,Accessories,6,23.52,Central,Credit Card,CUST-186,141.12,June,2023
ORD-1802,2023-05-15,Headphones,Accessories,5,93.42,Central,Credit Card,CUST-476,467.1,May,2023
ORD-1787,2023-09-29,Keyboard,Accessories,4,68.53,Central,Credit Card,CUST-260,274.12,September,2023
ORD-1308,2023-01-22,Webcam,Electronics,4,83.06,East,PayPal,CUST-157,332.24,January,2023
ORD-1583,2023-02-11,Laptop,Electronics,3,963.36,South,PayPal,CUST-264,2890.08,February,2023
ORD-1678,2023-03-31,Mouse,Accessories,6,33.92,Central,PayPal,CUST-272,203.52,March,2023
ORD-1286,2023-06-04,Keyboard,Accessories,9,55.27,West,Credit Card,CUST-490,497.43,June,2023
ORD-1351,2023-09-19,Keyboard,Accessories,8,60.71,West,Bank Transfer,CUST-356,485.68,September,2023
ORD-1522,2023-03-26,USB Hub,Accessories,9,40.01,Central,Cash,CUST-354,360.09,March,2023
ORD-1303,2023-10-14,Mouse,Accessories,1,37.34,Central,Debit Card,CUST-166,37.34,October,2023
ORD-1597,2023-03-13,Desk Lamp,Office,6,25.97,South,Credit Card,CUST-294,155.82,March,2023
ORD-2000,2023-01-26,Headphones,Accessories,10,86.71,South,Cash,CUST-332,867.1,January,2023
ORD-1752,2023-11-24,Headphones,Accessories,3,88.43,Central,Credit Card,CUST-407,265.29,November,2023
ORD-1029,2023-08-16,USB Hub,Accessories,1,35.3,Central,Credit Card,CUST-342,35.3,August,2023
ORD-2015,2023-07-26,Webcam,Electronics,2,72.82,East,Credit Card,CUST-320,145.64,July,2023
ORD-1155,2023-02-18,Webcam,Electronics,7,67.61,North,Cash,CUST-113,473.27,February,2023
ORD-1031,2023-05-01,Headphones,Accessories,8,78.15,South,Bank Transfer,CUST-486,625.2,May,2023
ORD-1054,2023-05-05,Monitor,Electronics,8,331.61,West,Credit Card,CUST-282,2652.88,May,2023
ORD-1413,2023-08-19,USB Hub,Accessories,7,41.88,East,Cash,CUST-297,293.16,August,2023
ORD-1609,2023-11-08,USB Hub,Accessories,1,42.61,North,Bank Transfer,CUST-431,42.61,November,2023
ORD-1070,2023-03-08,Headphones,Accessories,2,91.59,South,Bank Transfer,CUST-375,183.18,March,2023
ORD-1261,2023-11-07,Keyboard,Accessories,7,50.99,North,Cash,CUST-386,356.93,November,2023
ORD-1806,2023-04-20,Webcam,Electronics,9,67.57,East,Bank Transfer,CUST-440,608.13,April,2023
ORD-1247,2023-11-02,Desk Lamp,Office,10,25.62,South,Bank Transfer,CUST-365,256.2,November,2023
ORD-1453,2023-02-18,Monitor,Electronics,6,317.05,Central,Debit Card,UNKNOWN,1902.3,February,2023
ORD-2083,2023-08-02,Keyboard,Accessories,3,56.11,Central,Debit Card,CUST-191,168.33,August,2023
ORD-1447,2023-01-27,USB Hub,Accessories,2,36.97,South,Bank Transfer,UNKNOWN,73.94,January,2023
ORD-1590,2023-06-21,USB Hub,Accessories,3,33.38,North,Bank Transfer,CUST-278,100.14,June,2023
ORD-1390,2023-10-30,Webcam,Electronics,9,81.42,North,Bank Transfer,CUST-363,732.78,October,2023
ORD-1536,2023-06-08,Monitor,Electronics,1,330.58,Central,Bank Transfer,CUST-330,330.58,June,2023
ORD-1048,2023-11-25,Mouse,Accessories,8,34.96,East,Debit Card,CUST-257,279.68,November,2023
ORD-1113,2023-12-18,Mouse,Accessories,9,21.17,South,PayPal,CUST-171,190.53,December,2023
ORD-1721,2023-07-08,Laptop,Electronics,4,948.14,Central,Bank Transfer,CUST-414,3792.56,July,2023
ORD-1259,2023-08-06,USB Hub,Accessories,3,35.63,Central,PayPal,CUST-213,106.89,August,2023
ORD-1614,2023-05-02,Desk Lamp,Office,2,37.11,South,Cash,CUST-133,74.22,May,2023
ORD-1425,2023-06-25,USB Hub,Accessories,7,41.45,East,Cash,CUST-319,290.15,June,2023
ORD-1506,2023-02-21,Mouse,Accessories,7,26.71,Central,Credit Card,CUST-178,186.97,February,2023
ORD-1355,2023-11-27,Monitor,Electronics,8,324.71,Central,Credit Card,CUST-223,2597.68,November,2023
ORD-1107,2023-11-26,USB Hub,Accessories,8,37.77,East,Cash,CUST-247,302.16,November,2023
ORD-2001,2023-05-25,Headphones,Accessories,5,89.02,Central,Bank Transfer,CUST-444,445.1,May,2023
ORD-2027,2023-07-17,Keyboard,Accessories,7,61.1,South,Bank Transfer,CUST-114,427.7,July,2023
ORD-1677,2023-11-26,Monitor,Electronics,5,317.26,Central,PayPal,CUST-403,1586.3,November,2023
ORD-1210,2023-12-12,Charger,Accessories,1,27.78,West,Debit Card,CUST-284,27.78,December,2023
ORD-2179,2023-02-10,Charger,Accessories,1,18.22,North,Bank Transfer,CUST-113,18.22,February,2023
ORD-1570,2023-08-12,Keyboard,Accessories,2,66.48,South,Cash,CUST-180,132.96,August,2023
ORD-1233,2023-11-21,Mouse,Accessories,6,36.92,South,Cash,CUST-450,221.52,November,2023
ORD-2193,2023-02-25,Monitor,Electronics,2,326.27,East,Debit Card,CUST-462,652.54,February,2023
ORD-1439,2023-07-06,Notebook,Office,9,5.17,North,Credit Card,CUST-367,46.53,July,2023
ORD-1425,2023-06-25,USB Hub,Accessories,7,41.45,East,Cash,CUST-319,290.15,June,2023
ORD-1722,2023-09-23,Charger,Accessories,5,31.98,Central,Bank Transfer,CUST-493,159.9,September,2023
ORD-1620,2023-11-24,Mouse,Accessories,5,22.28,North,PayPal,CUST-375,111.4,November,2023
ORD-1168,2023-02-17,Mouse,Accessories,8,38.84,East,Bank Transfer,UNKNOWN,310.72,February,2023
ORD-1575,2023-01-14,Monitor,Electronics,6,321.76,Central,PayPal,CUST-353,1930.56,January,2023
ORD-1654,2023-01-11,Charger,Accessories,9,21.25,West,PayPal,CUST-414,191.25,January,2023
ORD-2178,2023-05-28,Mouse,Accessories,6,24.21,West,Bank Transfer,CUST-268,145.26,May,2023
ORD-1363,2023-11-05,Mouse,Accessories,8,37.79,West,Cash,CUST-370,302.32,November,2023
ORD-1528,2023-05-02,Mouse,Accessories,2,22.75,West,Cash,CUST-376,45.5,May,2023
ORD-1174,2023-01-31,Keyboard,Accessories,7,68.97,South,Cash,CUST-161,482.79,January,2023
ORD-1192,2023-09-17,Webcam,Electronics,1,72.83,North,Debit Card,CUST-291,72.83,September,2023
ORD-1994,2023-08-23,Headphones,Accessories,5,75.34,East,Debit Card,CUST-160,376.7,August,2023
ORD-1932,2023-10-07,Desk Lamp,Office,3,31.64,West,Bank Transfer,CUST-202,94.92,October,2023
ORD-1976,2023-08-03,Keyboard,Accessories,6,69.52,South,Cash,CUST-217,417.12,August,2023
ORD-1054,2023-05-05,Monitor,Electronics,8,331.61,West,Credit Card,CUST-282,2652.88,May,2023
ORD-1875,2023-04-04,Headphones,Accessories,10,80.75,West,Debit Card,CUST-221,807.5,April,2023
ORD-1398,2023-01-20,USB Hub,Accessories,1,30.58,West,Bank Transfer,CUST-156,30.58,January,2023
ORD-2078,2023-01-09,Monitor,Electronics,3,317.69,North,Bank Transfer,CUST-289,953.07,January,2023
ORD-1056,2023-10-17,Laptop,Electronics,3,947.61,Central,Credit Card,CUST-267,2842.83,October,2023
ORD-1679,2023-12-17,Headphones,Accessories,8,76.17,West,Bank Transfer,CUST-239,609.36,December,2023
ORD-1243,2023-07-09,Charger,Accessories,5,16.86,Central,Credit Card,CUST-280,84.3,July,2023
ORD-1109,2023-02-01,Monitor,Electronics,6,321.38,East,PayPal,CUST-472,1928.28,February,2023
ORD-1458,2023-05-10,Desk Lamp,Office,7,37.95,East,Bank Transfer,CUST-306,265.65,May,2023
ORD-1649,2023-09-27,Laptop,Electronics,2,947.0,West,Bank Transfer,CUST-357,1894.0,September,2023
ORD-1327,2023-11-13,Monitor,Electronics,8,331.68,West,Cash,UNKNOWN,2653.44,November,2023
ORD-1973,2023-05-29,Mouse,Accessories,10,22.08,South,PayPal,CUST-431,220.8,May,2023
ORD-1358,2023-02-22,Headphones,Accessories,3,80.51,North,Bank Transfer,UNKNOWN,241.53,February,2023
ORD-2114,2023-06-10,Charger,Accessories,2,22.94,Central,Cash,CUST-323,45.88,June,2023
ORD-1989,2023-09-12,Monitor,Electronics,6,319.55,West,Debit Card,CUST-176,1917.3,September,2023
ORD-1617,2023-01-25,Notebook,Office,3,7.1,North,PayPal,CUST-272,21.3,January,2023
ORD-1380,2023-11-18,Desk Lamp,Office,8,41.52,Central,Credit Card,CUST-401,332.16,November,2023
ORD-1946,2023-08-14,Laptop,Electronics,4,964.18,South,PayPal,CUST-166,3856.72,August,2023
ORD-1634,2023-05-30,Headphones,Accessories,1,75.05,North,Cash,CUST-111,75.05,May,2023
ORD-1497,2023-04-20,Monitor,Electronics,10,332.53,West,Bank Transfer,CUST-134,3325.3,April,2023
ORD-2080,2023-06-19,USB Hub,Accessories,1,47.56,South,Credit Card,CUST-386,47.56,June,2023
ORD-1381,2023-06-11,Laptop,Electronics,6,950.39,Central,Cash,CUST-194,5702.34,June,2023
ORD-1676,2023-06-23,Notebook,Office,6,20.94,Central,Debit Card,CUST-148,125.64,June,2023
ORD-1970,2023-03-14,USB Hub,Accessories,9,45.47,Central,PayPal,CUST-110,409.23,March,2023
ORD-1570,2023-08-12,Keyboard,Accessories,2,66.48,South,Cash,CUST-180,132.96,August,2023
ORD-1566,2023-05-20,Webcam,Electronics,10,67.58,West,PayPal,CUST-392,675.8,May,2023
ORD-1765,2023-12-14,Headphones,Accessories,3,79.43,East,PayPal,CUST-323,238.29,December,2023
ORD-1962,2023-02-24,Laptop,Electronics,6,955.28,East,Cash,CUST-143,5731.68,February,2023
ORD-1707,2023-12-02,USB Hub,Accessories,7,36.77,North,Cash,CUST-109,257.39,December,2023
ORD-1682,2023-09-03,Notebook,Office,8,13.32,West,PayPal,CUST-371,106.56,September,2023
ORD-1839,2023-04-13,Notebook,Office,6,11.45,East,Debit Card,CUST-291,68.7,April,2023
ORD-1855,2023-07-23,USB Hub,Accessories,6,34.0,West,Cash,CUST-110,204.0,July,2023
ORD-1170,2023-02-19,Keyboard,Accessories,5,52.02,East,PayPal,CUST-452,260.1,February,2023
ORD-1312,2023-02-09,Monitor,Electronics,4,331.01,South,Cash,CUST-347,1324.04,February,2023
ORD-1377,2023-11-22,Mouse,Accessories,1,22.69,East,Cash,CUST-343,22.69,November,2023
ORD-1355,2023-11-27,Monitor,Electronics,8,324.71,Central,Credit Card,CUST-223,2597.68,November,2023
ORD-2188,2023-05-19,Laptop,Electronics,7,946.12,Central,Bank Transfer,CUST-265,6622.84,May,2023
ORD-1209,2023-11-11,Headphones,Accessories,10,89.18,West,PayPal,CUST-239,891.8,November,2023
ORD-1660,2023-07-11,Webcam,Electronics,8,78.27,South,Credit Card,CUST-425,626.16,July,2023
ORD-1715,2023-07-17,Monitor,Electronics,8,322.7,North,Credit Card,CUST-438,2581.6,July,2023
ORD-1140,2023-02-20,Desk Lamp,Office,2,36.27,West,Credit Card,CUST-202,72.54,February,2023
ORD-1900,2023-06-05,Headphones,Accessories,8,78.74,West,PayPal,CUST-477,629.92,June,2023
ORD-1350,2023-09-29,Desk Lamp,Office,4,30.72,East,Credit Card,CUST-182,122.88,September,2023
ORD-1618,2023-05-03,Notebook,Office,5,19.38,West,Bank Transfer,CUST-186,96.9,May,2023
ORD-1823,2023-12-30,Monitor,Electronics,9,320.98,East,Credit Card,CUST-480,2888.82,December,2023
ORD-1727,2023-08-09,Webcam,Electronics,3,69.82,Central,PayPal,CUST-130,209.46,August,2023
ORD-1430,2023-01-21,Webcam,Electronics,1,70.38,North,Debit Card,CUST-288,70.38,January,2023
ORD-1199,2023-06-29,Laptop,Electronics,4,949.42,North,PayPal,CUST-397,3797.68,June,2023
ORD-2031,2023-05-24,Desk Lamp,Office,8,35.74,South,Cash,CUST-416,285.92,May,2023
ORD-1270,2023-02-26,Charger,Accessories,1,18.99,East,Bank Transfer,CUST-158,18.99,February,2023
ORD-1282,2023-11-03,Notebook,Office,2,8.7,Central,PayPal,CUST-171,17.4,November,2023
ORD-1711,2023-07-08,Monitor,Electronics,7,328.23,South,Credit Card,CUST-195,2297.61,July,2023
ORD-1010,2023-08-21,USB Hub,Accessories,1,35.22,Central,Debit Card,CUST-373,35.22,August,2023
ORD-1147,2023-08-09,Monitor,Electronics,7,324.81,Central,Cash,CUST-254,2273.67,August,2023
ORD-1643,2023-12-07,Monitor,Electronics,10,317.03,East,PayPal,CUST-151,3170.3,December,2023
ORD-2156,2023-05-28,Webcam,Electronics,8,83.14,East,PayPal,CUST-192,665.12,May,2023
ORD-1762,2023-01-16,Webcam,Electronics,7,79.32,West,Credit Card,CUST-337,555.24,January,2023
ORD-1543,2023-08-25,Notebook,Office,10,20.22,North,PayPal,CUST-190,202.2,August,2023
ORD-1377,2023-11-22,Mouse,Accessories,1,22.69,East,Cash,CUST-343,22.69,November,2023
ORD-1163,2023-12-18,Monitor,Electronics,6,330.49,East,Bank Transfer,CUST-163,1982.94,December,2023
ORD-1382,2023-03-19,Webcam,Electronics,1,73.34,Central,Bank Transfer,CUST-325,73.34,March,2023
ORD-1964,2023-05-04,Monitor,Electronics,5,318.35,West,Debit Card,CUST-288,1591.75,May,2023
ORD-1849,2023-10-10,Monitor,Electronics,6,331.95,West,Debit Card,CUST-174,1991.7,October,2023
ORD-1984,2023-09-13,Monitor,Electronics,2,316.75,East,Debit Card,CUST-305,633.5,September,2023
ORD-1331,2023-02-15,Webcam,Electronics,6,66.34,Central,Debit Card,CUST-486,398.04,February,2023
ORD-1361,2023-04-12,Headphones,Accessories,3,88.87,South,Bank Transfer,CUST-490,266.61,April,2023
ORD-1739,2023-08-17,USB Hub,Accessories,10,32.37,North,Cash,CUST-322,323.7,August,2023
ORD-1424,2023-02-22,Monitor,Electronics,2,318.26,South,Credit Card,CUST-248,636.52,February,2023
ORD-2140,2023-10-07,Mouse,Accessories,6,20.93,West,Cash,CUST-120,125.58,October,2023
ORD-1944,2023-01-31,Charger,Accessories,3,27.27,South,Debit Card,CUST-432,81.81,January,2023
ORD-1358,2023-02-22,Headphones,Accessories,3,80.51,North,Bank Transfer,CUST-134,241.53,February,2023
ORD-1135,2023-05-31,USB Hub,Accessories,8,43.95,South,Credit Card,CUST-336,351.6,May,2023
ORD-1917,2023-01-15,USB Hub,Accessories,3,43.24,North,PayPal,CUST-267,129.72,January,2023
ORD-1275,2023-09-07,Laptop,Electronics,9,961.88,East,Debit Card,CUST-167,8656.92,September,2023
ORD-1533,2023-04-30,Charger,Accessories,10,24.15,East,Bank Transfer,CUST-320,241.5,April,2023
ORD-2046,2023-09-18,Webcam,Electronics,7,82.05,Central,Cash,CUST-451,574.35,September,2023
ORD-1999,2023-01-25,Laptop,Electronics,10,960.12,South,Debit Card,CUST-495,9601.2,January,2023
ORD-1158,2023-06-10,Mouse,Accessories,4,36.89,Central,Debit Card,CUST-234,147.56,June,2023
